YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,603386,Azusa,6037404100,Census Tract 4041,72590.0,8812.0,72454.0,23992.0,,,,,123731.0,32216.0,,,60004.0,24271.0,63872.0,24655.0,,,71602.0,9190.0
2021,603386,Azusa,6037404201,Census Tract 4042.01,74363.0,12419.0,69746.0,16274.0,,,,,,,,,120188.0,109644.0,,,68026.0,28695.0,79911.0,28821.0
2021,603386,Azusa,6037404203,Census Tract 4042.03,77625.0,7912.0,76105.0,23541.0,,,,,105868.0,37248.0,,,75351.0,60376.0,,,87660.0,26751.0,75144.0,9294.0
2021,603386,Azusa,6037404301,Census Tract 4043.01,64967.0,11803.0,63544.0,21327.0,,,47705.0,46789.0,220139.0,76100.0,,,58770.0,15630.0,73685.0,33412.0,31012.0,15682.0,68148.0,13599.0
2021,603386,Azusa,6037404302,Census Tract 4043.02,81687.0,16019.0,83753.0,21694.0,,,,,52716.0,32975.0,,,59413.0,31730.0,,,141334.0,28775.0,74564.0,21226.0
2021,603386,Azusa,6037404401,Census Tract 4044.01,85970.0,16457.0,102174.0,21759.0,102139.0,6612.0,,,65772.0,29074.0,,,68937.0,16266.0,104586.0,32472.0,121554.0,86061.0,81428.0,15346.0
2021,603386,Azusa,6037404402,Census Tract 4044.02,87747.0,22578.0,78123.0,42422.0,,,,,100290.0,24865.0,,,94675.0,25853.0,,,57816.0,24834.0,85819.0,25558.0
2021,603386,Azusa,6037404501,Census Tract 4045.01,68656.0,10664.0,77792.0,17275.0,,,,,93135.0,70143.0,,,66372.0,17809.0,65842.0,24349.0,60240.0,40245.0,71188.0,8645.0
2021,603386,Azusa,6037404503,Census Tract 4045.03,89504.0,13711.0,108048.0,20675.0,,,,,124027.0,31861.0,,,67179.0,18594.0,60998.0,13231.0,161791.0,125264.0,69218.0,20758.0
2021,603386,Azusa,6037404504,Census Tract 4045.04,69837.0,17550.0,68824.0,12508.0,,,,,57668.0,2070.0,,,70636.0,53542.0,110880.0,28148.0,63711.0,37395.0,74772.0,10978.0
2021,603666,Baldwin Park,6037404701,Census Tract 4047.01,98023.0,7456.0,102885.0,27642.0,,,132330.0,67087.0,97652.0,35269.0,,,79680.0,28170.0,100709.0,41193.0,188052.0,172865.0,96230.0,9135.0
2021,603666,Baldwin Park,6037404702,Census Tract 4047.02,80397.0,10529.0,80285.0,23999.0,,,,,92722.0,31005.0,,,78833.0,64177.0,71962.0,41385.0,,,79041.0,19396.0
2021,603666,Baldwin Park,6037404703,Census Tract 4047.03,79948.0,11065.0,80192.0,27496.0,,,,,,,,,79297.0,26403.0,,,,,78422.0,9210.0
2021,603666,Baldwin Park,6037404804,Census Tract 4048.04,78232.0,12384.0,76926.0,35270.0,,,,,58939.0,51968.0,,,107937.0,45545.0,,,,,77580.0,21834.0
2021,603666,Baldwin Park,6037404805,Census Tract 4048.05,63309.0,24264.0,60327.0,12521.0,,,,,57904.0,39424.0,,,98130.0,13113.0,,,62762.0,11873.0,76253.0,33433.0
2021,603666,Baldwin Park,6037404806,Census Tract 4048.06,79520.0,6099.0,79667.0,4716.0,,,,,97544.0,39003.0,,,87226.0,23576.0,,,84725.0,84300.0,78171.0,6841.0
2021,603666,Baldwin Park,6037404901,Census Tract 4049.01,104917.0,22110.0,93382.0,45313.0,,,,,98794.0,33407.0,,,132246.0,34130.0,60496.0,27407.0,72286.0,16637.0,104943.0,32701.0
2021,603666,Baldwin Park,6037404902,Census Tract 4049.02,87490.0,18693.0,84413.0,59282.0,,,,,110259.0,24206.0,,,90744.0,19118.0,57782.0,20453.0,,,82101.0,23802.0
2021,603666,Baldwin Park,6037404903,Census Tract 4049.03,72178.0,8905.0,71751.0,12921.0,,,,,60712.0,14948.0,,,,,95580.0,35457.0,75854.0,6553.0,72783.0,47118.0
2021,603666,Baldwin Park,6037405001,Census Tract 4050.01,86132.0,18985.0,99978.0,28247.0,,,82576.0,12840.0,,,,,94138.0,31022.0,87930.0,33295.0,74408.0,64461.0,93710.0,17070.0
2021,603666,Baldwin Park,6037405002,Census Tract 4050.02,76815.0,33570.0,87876.0,18115.0,,,,,54517.0,11051.0,,,99226.0,38556.0,,,80192.0,1231.0,85819.0,40375.0
2021,603666,Baldwin Park,6037405101,Census Tract 4051.01,82072.0,9697.0,63309.0,48192.0,,,,,61375.0,38753.0,,,,,96471.0,34444.0,130839.0,104409.0,84067.0,28124.0
2021,603666,Baldwin Park,6037405102,Census Tract 4051.02,76641.0,16116.0,88411.0,13378.0,,,,,67706.0,30538.0,,,55220.0,20279.0,104645.0,58812.0,,,86742.0,19959.0
2021,603666,Baldwin Park,6037405201,Census Tract 4052.01,65335.0,9900.0,65757.0,14812.0,,,,,57119.0,50909.0,,,69674.0,28331.0,60912.0,32823.0,,,66320.0,10361.0
2021,603666,Baldwin Park,6037405202,Census Tract 4052.02,75716.0,14783.0,68233.0,38638.0,,,,,79105.0,26468.0,,,100862.0,75269.0,47061.0,22630.0,26637.0,13589.0,75921.0,25181.0
2021,603666,Baldwin Park,6037405203,Census Tract 4052.03,96488.0,14152.0,117896.0,38072.0,,,,,90462.0,28047.0,,,117474.0,74122.0,54517.0,40598.0,126994.0,49279.0,99474.0,32057.0
2021,603666,Baldwin Park,6037406903,Census Tract 4069.03,94354.0,15997.0,74229.0,18539.0,,,,,63822.0,25179.0,,,99654.0,40715.0,100656.0,51533.0,,,97194.0,22507.0
2021,603666,Baldwin Park,6037407001,Census Tract 4070.01,84656.0,7946.0,83414.0,16417.0,,,,,,,,,82604.0,22726.0,,,67958.0,52021.0,85674.0,11101.0
2021,603666,Baldwin Park,6037407002,Census Tract 4070.02,97515.0,27731.0,87754.0,52223.0,,,,,48713.0,39049.0,,,112992.0,15308.0,,,,,107562.0,20780.0
2021,604870,Bell,6037532304,Census Tract 5323.04,62227.0,25383.0,52220.0,7882.0,,,,,,,,,57995.0,42282.0,,,,,53068.0,21122.0
2021,604870,Bell,6037533601,Census Tract 5336.01,62137.0,7436.0,44492.0,16669.0,,,,,,,,,78383.0,15507.0,107025.0,58743.0,11802.0,5546.0,64111.0,13060.0
2021,604870,Bell,6037533602,Census Tract 5336.02,57347.0,3800.0,60879.0,5111.0,,,,,,,,,46050.0,5424.0,,,,,56978.0,7862.0
2021,604870,Bell,6037533603,Census Tract 5336.03,49628.0,13438.0,58839.0,16813.0,,,,,,,,,58338.0,33427.0,27674.0,21395.0,,,50648.0,14108.0
2021,604870,Bell,6037533803,Census Tract 5338.03,45981.0,12964.0,47510.0,21394.0,,,,,,,,,69874.0,39152.0,,,38236.0,3245.0,47412.0,18402.0
2021,604870,Bell,6037533804,Census Tract 5338.04,53227.0,11293.0,38945.0,15547.0,,,,,,,,,94177.0,16311.0,61466.0,40324.0,59675.0,54987.0,52933.0,11278.0
2021,604870,Bell,6037533805,Census Tract 5338.05,60552.0,18848.0,68796.0,19040.0,,,,,,,,,58619.0,30849.0,60730.0,54581.0,,,66864.0,15692.0
2021,604870,Bell,6037533806,Census Tract 5338.06,68735.0,14519.0,62903.0,7651.0,,,,,,,,,96987.0,49391.0,,,63246.0,1633.0,70085.0,20740.0
