YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2017,644000,Los Angeles,6037141202,Census Tract 1412.02,91946.0,8116.0,92745.0,7276.0,,,,,117886.0,105026.0,,,,,41058.0,7034.0,94826.0,7514.0,56660.0,10278.0,1.223021582733813
2017,644000,Los Angeles,6037141302,Census Tract 1413.02,109005.0,13671.0,108209.0,12655.0,,,,,132335.0,81305.0,,,,,,,107546.0,16255.0,103192.0,37407.0,1.223021582733813
2017,644000,Los Angeles,6037141303,Census Tract 1413.03,76439.0,14616.0,80669.0,13353.0,,,,,65860.0,34793.0,,,,,51016.0,37559.0,78678.0,12683.0,132476.0,28812.0,1.223021582733813
2017,644000,Los Angeles,6037141304,Census Tract 1413.04,95835.0,29412.0,100354.0,27859.0,52144.0,2720.0,,,245190.0,,,,,,,,103766.0,26951.0,68489.0,50204.0,1.223021582733813
2017,644000,Los Angeles,6037141400,Census Tract 1414,115305.0,18065.0,117611.0,24657.0,,,,,214640.0,166254.0,,,,,,,118243.0,23779.0,48252.0,38048.0,1.223021582733813
2017,644000,Los Angeles,6037141500,Census Tract 1415,220908.0,65526.0,224349.0,56066.0,,,,,,,,,,,,,234667.0,58410.0,,,1.223021582733813
2017,644000,Los Angeles,6037141600,Census Tract 1416,229280.0,20506.0,229317.0,22841.0,,,,,245190.0,,,,,,125831.0,50763.0,232539.0,18361.0,,,1.223021582733813
2017,644000,Los Angeles,6037141700,Census Tract 1417,228399.0,17545.0,228246.0,22699.0,,,,,,,,,,,245190.0,,228298.0,22917.0,,,1.223021582733813
2017,644000,Los Angeles,6037143100,Census Tract 1431,128448.0,18689.0,130006.0,12338.0,113247.0,100415.0,,,166807.0,92644.0,,,59021.0,8372.0,,,131157.0,14169.0,74179.0,29532.0,1.223021582733813
2017,644000,Los Angeles,6037143200,Census Tract 1432,89375.0,16063.0,90198.0,13726.0,104568.0,55751.0,,,,,,,,,,,90845.0,15921.0,51078.0,20502.0,1.223021582733813
2017,644000,Los Angeles,6037143300,Census Tract 1433,95415.0,26012.0,79339.0,22682.0,91294.0,88707.0,,,,,,,115507.0,58273.0,,,101409.0,43429.0,64495.0,27045.0,1.223021582733813
2017,644000,Los Angeles,6037143400,Census Tract 1434,125460.0,20712.0,125522.0,19841.0,,,,,,,,,,,,,126851.0,19142.0,103676.0,23215.0,1.223021582733813
2017,644000,Los Angeles,6037143500,Census Tract 1435,106970.0,24936.0,122746.0,36529.0,,,,,,,,,,,,,126378.0,23855.0,,,1.223021582733813
2017,644000,Los Angeles,6037143602,Census Tract 1436.02,89274.0,17342.0,89578.0,13037.0,,,,,102682.0,42680.0,,,,,,,82328.0,24153.0,,,1.223021582733813
2017,644000,Los Angeles,6037143603,Census Tract 1436.03,90676.0,15017.0,85550.0,19176.0,,,,,76133.0,38795.0,,,,,151488.0,98034.0,89816.0,22235.0,137781.0,112962.0,1.223021582733813
2017,644000,Los Angeles,6037143604,Census Tract 1436.04,76325.0,8471.0,75314.0,3446.0,71725.0,41515.0,,,101134.0,28643.0,,,,,116422.0,61731.0,74784.0,4939.0,76220.0,21241.0,1.223021582733813
2017,644000,Los Angeles,6037143700,Census Tract 1437,147103.0,43927.0,176192.0,43871.0,,,,,129436.0,42303.0,,,,,127551.0,12092.0,175184.0,53895.0,201034.0,75257.0,1.223021582733813
2017,644000,Los Angeles,6037143800,Census Tract 1438,179121.0,33993.0,186178.0,19365.0,,,,,128957.0,26447.0,,,,,,,185394.0,21709.0,245190.0,200194.0,1.223021582733813
2017,644000,Los Angeles,6037143901,Census Tract 1439.01,208453.0,41257.0,201417.0,52159.0,,,,,245190.0,,,,,,245190.0,98149.0,199124.0,56499.0,,,1.223021582733813
2017,644000,Los Angeles,6037143902,Census Tract 1439.02,144011.0,9410.0,140508.0,11690.0,,,,,152113.0,46911.0,,,,,,,137798.0,12564.0,245190.0,156943.0,1.223021582733813
2017,644000,Los Angeles,6037181000,Census Tract 1810,138068.0,17907.0,135201.0,23801.0,,,,,168930.0,85114.0,,,,,148532.0,91091.0,132360.0,40927.0,139593.0,20608.0,1.223021582733813
2017,644000,Los Angeles,6037181300,Census Tract 1813,109611.0,13326.0,116697.0,18234.0,,,,,116493.0,33364.0,,,79731.0,41903.0,108986.0,77447.0,141106.0,31984.0,98912.0,37446.0,1.223021582733813
2017,644000,Los Angeles,6037181400,Census Tract 1814,67521.0,15288.0,63642.0,11737.0,,,,,84083.0,24978.0,,,59397.0,25911.0,144215.0,73369.0,64776.0,11577.0,62068.0,27048.0,1.223021582733813
2017,644000,Los Angeles,6037181500,Census Tract 1815,122727.0,43829.0,87140.0,56734.0,,,,,149514.0,50748.0,,,,,147833.0,116904.0,135011.0,40635.0,91988.0,30583.0,1.223021582733813
2017,644000,Los Angeles,6037181600,Census Tract 1816,90452.0,15688.0,79595.0,14227.0,,,,,126073.0,35437.0,,,98934.0,7412.0,75129.0,58661.0,101555.0,18417.0,72416.0,16399.0,1.223021582733813
2017,644000,Los Angeles,6037183101,Census Tract 1831.01,85023.0,25549.0,102385.0,19658.0,,,,,46246.0,17621.0,,,59723.0,16269.0,,,106441.0,30300.0,62346.0,20380.0,1.223021582733813
2017,644000,Los Angeles,6037183103,Census Tract 1831.03,66375.0,7981.0,65432.0,10897.0,70629.0,30353.0,,,88440.0,48210.0,,,60739.0,11200.0,107184.0,49394.0,69559.0,23226.0,62734.0,7726.0,1.223021582733813
2017,644000,Los Angeles,6037183104,Census Tract 1831.04,84694.0,12728.0,84752.0,17400.0,125521.0,45697.0,,,90293.0,28350.0,,,61100.0,26982.0,,,99698.0,26120.0,75129.0,18826.0,1.223021582733813
2017,644000,Los Angeles,6037183220,Census Tract 1832.20,63858.0,4566.0,59011.0,14241.0,,,,,92382.0,38879.0,,,65065.0,27540.0,62540.0,7429.0,107320.0,28186.0,54985.0,13343.0,1.223021582733813
2017,644000,Los Angeles,6037183221,Census Tract 1832.21,70140.0,14172.0,77255.0,17861.0,,,,,54577.0,38610.0,,,59241.0,29178.0,,,87650.0,38781.0,53368.0,16704.0,1.223021582733813
2017,644000,Los Angeles,6037183222,Census Tract 1832.22,77628.0,28895.0,54157.0,5537.0,245190.0,,,,139774.0,123474.0,,,150607.0,65191.0,134945.0,125233.0,64209.0,56919.0,54312.0,35118.0,1.223021582733813
2017,644000,Los Angeles,6037183300,Census Tract 1833,87446.0,10876.0,87106.0,10782.0,,,,,96313.0,30023.0,,,76032.0,50655.0,,,85917.0,37296.0,87192.0,15775.0,1.223021582733813
2017,644000,Los Angeles,6037183401,Census Tract 1834.01,74299.0,10039.0,77288.0,33598.0,,,,,90058.0,68446.0,,,67446.0,30407.0,129946.0,120382.0,99881.0,33967.0,62374.0,19642.0,1.223021582733813
2017,644000,Los Angeles,6037183402,Census Tract 1834.02,74801.0,14983.0,82600.0,21208.0,,,,,66672.0,30826.0,,,61915.0,61377.0,55036.0,24541.0,104211.0,40080.0,64611.0,26571.0,1.223021582733813
2017,644000,Los Angeles,6037183510,Census Tract 1835.10,81484.0,17970.0,96313.0,28024.0,,,,,,,,,70095.0,28098.0,235737.0,213346.0,104096.0,47292.0,77713.0,12400.0,1.223021582733813
2017,644000,Los Angeles,6037183520,Census Tract 1835.20,48751.0,13262.0,66043.0,25534.0,,,,,,,,,40799.0,2710.0,128570.0,46817.0,113703.0,88407.0,41753.0,4536.0,1.223021582733813
2017,644000,Los Angeles,6037183610,Census Tract 1836.10,66028.0,11389.0,68795.0,25757.0,,,94274.0,64012.0,102734.0,30896.0,,,64838.0,15546.0,52437.0,47700.0,72158.0,40303.0,59792.0,19796.0,1.223021582733813
2017,644000,Los Angeles,6037183620,Census Tract 1836.20,61763.0,12686.0,69389.0,12154.0,24352.0,8830.0,,,78034.0,14626.0,,,53598.0,18821.0,,,81025.0,26633.0,53670.0,8197.0,1.223021582733813
2017,644000,Los Angeles,6037183701,Census Tract 1837.01,57602.0,10775.0,58820.0,14890.0,90809.0,34563.0,,,77433.0,28211.0,,,54966.0,19181.0,,,73572.0,23566.0,53132.0,5499.0,1.223021582733813
2017,644000,Los Angeles,6037183702,Census Tract 1837.02,63024.0,11205.0,48093.0,23396.0,71128.0,10624.0,,,102428.0,37969.0,,,44752.0,4646.0,,,87446.0,63662.0,43851.0,1998.0,1.223021582733813
2017,644000,Los Angeles,6037183810,Census Tract 1838.10,45767.0,15609.0,52934.0,18920.0,,,,,101759.0,62260.0,,,42754.0,6400.0,108543.0,88479.0,59813.0,20108.0,41923.0,6202.0,1.223021582733813
2017,644000,Los Angeles,6037183820,Census Tract 1838.20,39866.0,8926.0,46291.0,24282.0,,,68399.0,56376.0,,,,,37455.0,9916.0,,,90962.0,41838.0,37281.0,7541.0,1.223021582733813
