YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2010,6037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,61715.0,5478.0
2010,6037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,73889.0,171237.0
2010,6037572301,Census Tract 5723.01,Carson,Los Angeles County,California,Carson,52841.0,11826.0
2010,6037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2010,6037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,,
2010,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,117344.0,163944.0
2010,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,,
2010,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,180417.0,207150.0
2010,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,110070.0,30085.0
2010,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,160145.0,245572.0
2010,6037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,
2010,6037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,49154.0,102413.0
2010,6037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,118636.0,23042.0
2010,6037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,47250.0,58410.0
2010,6037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,59542.0,21551.0
2010,6037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,66333.0,18031.0
2010,6037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,64083.0,133882.0
2010,6037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,83438.0,49049.0
2010,6037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,205962.0,88453.0
2010,6037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,96058.0,60884.0
2010,6037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,47222.0,210343.0
2010,6037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,83693.0,90077.0
2010,6037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,133750.0,27143.0
2010,6037554900,Census Tract 5549,Cerritos,Los Angeles County,California,Cerritos,39544.0,81324.0
2010,6037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,114444.0,31855.0
2010,6037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,53194.0,97327.0
2010,6037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,53162.0,74442.0
2010,6037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,,
2010,6037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,31806.0,149548.0
2010,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,75625.0,12507.0
2010,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,,
2010,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,,
2010,6037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,106250.0,95213.0
2010,6037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,41635.0,138390.0
2010,6037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,98804.0,57396.0
2010,6037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,,
2010,6037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,53750.0,57118.0
2010,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,77434.0,152560.0
2010,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,54943.0,226145.0
2010,6037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,106635.0,15497.0
2010,6037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,78242.0,88834.0
2010,6037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,63750.0,12919.0
2010,6037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,,
2010,6037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,23333.0,24168.0
2010,6037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,24388.0,23767.0
2010,6037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,41538.0,249607.0
2010,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,,
2010,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,,
2010,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,,
2010,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,19097.0,47452.0
2010,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,,
2010,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,,
2010,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,,
2010,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,,
2010,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,,
2010,6037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,41458.0,21827.0
2010,6037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,56250.0,11572.0
2010,6037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,53009.0,14080.0
2010,6037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,19856.0,31613.0
2010,6037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,19250.0,10433.0
2010,6037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,43490.0,20749.0
2010,6037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,45000.0,71097.0
