YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2014,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,66763.0,12000.0
2014,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,133409.0,13849.0
2014,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,98083.0,16294.0
2014,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,113571.0,23491.0
2014,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,136397.0,59526.0
2014,6037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,
2014,6037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,52500.0,19562.0
2014,6037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,103750.0,21978.0
2014,6037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,86985.0,22684.0
2014,6037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,90625.0,29151.0
2014,6037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,61359.0,6713.0
2014,6037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,93021.0,31428.0
2014,6037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,74306.0,22540.0
2014,6037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,63542.0,41074.0
2014,6037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,76165.0,4713.0
2014,6037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,105556.0,43183.0
2014,6037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,51500.0,12102.0
2014,6037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,78750.0,14637.0
2014,6037554900,Census Tract 5549,Cerritos,Los Angeles County,California,Cerritos,51465.0,6632.0
2014,6037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,95657.0,11258.0
2014,6037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,75000.0,10765.0
2014,6037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,73654.0,22552.0
2014,6037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,59674.0,9791.0
2014,6037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,54948.0,5796.0
2014,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,64102.0,12903.0
2014,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,59674.0,9791.0
2014,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,79327.0,6550.0
2014,6037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,55686.0,7519.0
2014,6037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,29271.0,23415.0
2014,6037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,55833.0,39320.0
2014,6037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,39787.0,9293.0
2014,6037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,57361.0,52823.0
2014,6037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,146190.0,12011.0
2014,6037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,168750.0,9807.0
2014,6037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,119519.0,12972.0
2014,6037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,70132.0,13027.0
2014,6037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,92167.0,18765.0
2014,6037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,80179.0,6936.0
