YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037311000,Census Tract 3110,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),68611,14831
2013,06037311100,Census Tract 3111,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),98939,15881
2013,06037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),96786,46133
2013,06037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),53500,45467
2013,06037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),57000,51024
2013,06037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),59750,49406
2013,06037311600,Census Tract 3116,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),72036,24983
2013,06037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),56477,14894
2013,06037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),44881,5328
2013,06037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),38295,17272
2013,06037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,103351,55990
2013,06037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,101528,198851
2013,06037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,106250,175600
2013,06037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,121429,85991
2013,06037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,54556,120304
2013,06037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,104948,182643
2013,06037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,89094,13682
2013,06037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,54821,36081
2013,06037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,64688,16408
2013,06037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,41569,14112
2013,06037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,47406,14966
2013,06037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,57698,29370
2013,06037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,100350,15620
2013,06037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,62444,14850
2013,06037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,34667,4940
2013,06037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,72865,53504
2013,06037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,72614,18947
2013,06037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,58867,19350
2013,06037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,78618,32306
2013,06037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,91569,31798
2013,06037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,65865,17489
2013,06037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,75172,15389
2013,06037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,90375,17619
2013,06037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,67750,25226
2013,06037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,44406,17217
2013,06037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,70167,21266
2013,06037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,50813,11742
2013,06037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,55611,8171
2013,06037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,93000,53580
2013,06037572301,Census Tract 5723.01,Carson,Los Angeles County,California,Carson,37917,16064
2013,06037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2013,06037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,,
2013,06037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,45144,29049
2013,06037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,68929,53698
2013,06037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,66806,28970
2013,06037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,106250,30949
2013,06037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,137727,59560
2013,06037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,69116,11731
2013,06037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,160781,69358
2013,06037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,96500,63439
2013,06037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,70833,47121
2013,06037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,42386,14113
2013,06037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,57625,71515
2013,06037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,86750,37921
2013,06037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,64250,30593
2013,06037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,85469,57305
2013,06037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,128446,21598
2013,06037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,93929,26068
2013,06037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,80250,57320
2013,06037554900,Census Tract 5549,Cerritos,Los Angeles County,California,Cerritos,42481,40379
2013,06037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,82875,17363
2013,06037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,105625,58133
2013,06037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,67500,10969
2013,06037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,75526,18580
2013,06037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,59676,12675
2013,06037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,71581,21328
2013,06037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,75526,18580
2013,06037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,65590,5414
2013,06037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,71875,21782
2013,06037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,58259,6088
2013,06037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,33649,12230
2013,06037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,50887,8285
2013,06037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,75000,19578
2013,06037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,86218,15604
