YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,127750,36799
2013,06037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,106250,73971
2013,06037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,96719,55873
2013,06037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,89766,20948
2013,06037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,107679,6496
2013,06037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,105250,23717
2013,06037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,81827,9546
2013,06037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,111250,32619
2013,06037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,101307,7589
2013,06037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,98507,9654
2013,06037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,103750,6936
2013,06037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,78902,26516
2013,06037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,104688,31460
2013,06037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,109728,35493
2013,06037554900,Census Tract 5549,Cerritos,Los Angeles County,California,Cerritos,80250,35090
2013,06037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,64375,44685
2013,06037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,106607,61911
2013,06037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,98021,41397
2013,06037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,94783,13749
2013,06037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,78977,51592
2013,06037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,106667,98903
2013,06037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,94783,13749
2013,06037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,92188,30060
2013,06037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,34744,42065
2013,06037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,85938,14344
2013,06037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,,
2013,06037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,53250,76910
2013,06037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,125109,146950
2013,06037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,107083,90404
2013,06037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,235682,74168
2013,06037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,114926,40628
2013,06037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,90547,21927
2013,06037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,43971,108198
